City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Akom,CM,2.6678,12.7109,84.94,47,96,3.0,overcast clouds
80,Talnakh,RU,69.4865,88.3972,54.21,41,18,11.86,few clouds
81,Deep River,CA,46.1001,-77.4995,66.94,66,100,3.2,overcast clouds
82,Kisangani,CD,0.5167,25.2,88.77,43,100,2.35,overcast clouds
83,Barrow,US,71.2906,-156.7887,44.62,81,0,0.0,clear sky
84,Yuty,PY,-26.6,-56.25,74.7,51,84,13.11,moderate rain
85,Shaunavon,CA,49.6501,-108.4181,58.78,83,58,7.76,broken clouds
86,Thompson,CA,55.7435,-97.8558,60.96,100,100,3.44,fog
87,Hithadhoo,MV,-0.6,73.0833,82.71,70,100,2.42,overcast clouds
88,Coquimbo,CL,-29.9533,-71.3436,53.33,100,75,3.44,broken clouds
89,Avarua,CK,-21.2078,-159.775,73.45,56,100,6.91,overcast clouds
90,Beyneu,KZ,45.3167,55.2,96.04,14,4,7.61,clear sky
91,Baturite,BR,-4.3286,-38.8847,77.72,73,94,8.39,overcast clouds
92,Baykit,RU,61.67,96.37,68.32,72,1,8.99,light rain
93,Porto Novo,BJ,6.4965,2.6036,82.22,79,100,9.78,light rain
94,Kalemie,CD,-5.9475,29.1947,78.15,45,0,9.26,clear sky
95,Kodiak,US,57.79,-152.4072,53.11,82,100,6.91,overcast clouds
96,Kardla,EE,58.9978,22.7492,67.05,63,0,8.05,clear sky
97,Atar,MR,20.5169,-13.0499,103.96,18,0,7.74,clear sky
98,Capoterra,IT,39.1763,8.9718,92.91,46,0,13.8,clear sky
99,Nelson Bay,AU,-32.7167,152.15,62.01,87,50,8.99,light rain
100,Victoria,HK,22.2855,114.1577,87.33,80,11,8.99,few clouds
101,Dhidhdhoo,MV,6.8833,73.1,81.37,81,100,18.81,moderate rain
102,Torbay,CA,47.6666,-52.7314,66.88,55,20,18.41,few clouds
103,Atuona,PF,-9.8,-139.0333,77.34,76,31,19.08,scattered clouds
104,Nanortalik,GL,60.1432,-45.2371,43.48,86,87,8.08,overcast clouds
105,Hami,CN,42.8,93.45,92.64,13,75,8.95,broken clouds
106,Guane,CU,22.2025,-84.0875,80.96,74,2,2.59,clear sky
107,Vila Do Maio,CV,15.1333,-23.2167,83.19,78,10,8.46,clear sky
108,Mahebourg,MU,-20.4081,57.7,71.89,60,40,16.11,scattered clouds
109,Inta,RU,66.0317,60.1659,68.58,49,100,9.31,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,89.71,67,3,1.99,clear sky
111,La Ronge,CA,55.1001,-105.2842,62.85,72,75,4.61,broken clouds
112,Pisco,PE,-13.7,-76.2167,60.85,82,100,5.75,mist
113,Maragogi,BR,-9.0122,-35.2225,77.95,77,77,14.25,broken clouds
114,Irbil,IQ,36.1926,44.0106,108.57,10,0,9.91,clear sky
115,Cheremukhovo,RU,60.3484,59.9851,73.47,68,64,4.14,light rain
116,Trinidad,BO,-14.8333,-64.9,76.98,83,16,6.91,few clouds
117,Cidreira,BR,-30.1811,-50.2056,64.45,81,93,9.95,overcast clouds
118,Sechura,PE,-5.5569,-80.8222,62.44,80,87,9.51,overcast clouds
119,Dondo,MZ,-19.6094,34.7431,76.51,54,8,8.01,clear sky
120,Krasnogorskiy,RU,54.6025,61.231,77.81,58,99,4.7,overcast clouds
121,Esperance,AU,-33.8667,121.9,55.99,79,90,13.06,overcast clouds
122,Klaksvik,FO,62.2266,-6.589,52.72,93,98,12.77,overcast clouds
123,Mogadishu,SO,2.0371,45.3438,78.67,78,75,20.71,light rain
124,Souillac,MU,-20.5167,57.5167,71.98,60,40,16.11,scattered clouds
125,Yulara,AU,-25.2406,130.9889,49.89,36,0,5.68,clear sky
126,Geraldton,AU,-28.7667,114.6,55.81,88,75,11.5,broken clouds
127,Vanimo,PG,-2.6741,141.3028,78.01,87,100,3.42,overcast clouds
128,Bluff,NZ,-46.6,168.3333,35.8,75,69,9.1,broken clouds
129,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,20,17.27,few clouds
130,Takoradi,GH,4.8845,-1.7554,79.0,72,98,10.98,overcast clouds
131,Saskylakh,RU,71.9167,114.0833,50.97,71,100,11.61,overcast clouds
132,Praya,CV,14.9215,-23.5087,82.94,61,0,13.8,clear sky
133,Praia,CV,14.9215,-23.5087,82.94,61,0,13.8,clear sky
134,Lakhimpur,IN,27.95,80.7667,101.39,31,24,5.61,few clouds
135,Linxia,CN,35.6003,103.2064,67.15,94,100,3.62,overcast clouds
136,Saku,JP,36.2167,138.4833,74.08,92,9,1.36,clear sky
137,Sisimiut,GL,66.9395,-53.6735,42.01,79,100,6.11,overcast clouds
138,Touros,BR,-5.1989,-35.4608,82.09,70,46,18.72,scattered clouds
139,Lorengau,PG,-2.0226,147.2712,81.93,76,62,9.8,broken clouds
140,Ostrovnoy,RU,68.0531,39.5131,61.75,66,100,17.02,overcast clouds
141,Kavaratti,IN,10.5669,72.642,81.3,82,100,19.51,overcast clouds
142,Cherskiy,RU,68.75,161.3,41.27,64,12,4.34,few clouds
143,Carnarvon,AU,-24.8667,113.6333,65.32,62,4,17.54,clear sky
144,Dicabisagan,PH,17.0818,122.4157,80.6,86,10,1.25,clear sky
145,Corowa,AU,-36.0333,146.3833,38.41,91,15,4.41,few clouds
146,Chuy,UY,-33.6971,-53.4616,65.52,84,14,10.71,few clouds
147,Nesna,NO,66.1967,13.0213,61.57,82,15,5.3,few clouds
148,Sakakah,SA,29.9697,40.2064,105.37,7,0,16.06,clear sky
149,Port Alfred,ZA,-33.5906,26.891,62.19,81,90,4.0,overcast clouds
150,Indi,IN,17.1667,75.9667,72.37,86,100,18.14,overcast clouds
151,Lebu,CL,-37.6167,-73.65,47.43,86,5,8.25,clear sky
152,Khandyga,RU,62.6667,135.6,68.18,92,100,3.83,light rain
153,Lufilufi,WS,-13.8745,-171.5986,71.38,72,96,16.24,overcast clouds
154,Conde,BR,-7.2597,-34.9075,80.06,69,75,19.57,broken clouds
155,Bolshaya Sosnova,RU,57.6713,54.6029,81.66,52,10,2.15,clear sky
156,Tautira,PF,-17.7333,-149.15,77.04,76,96,21.45,light rain
157,Taoudenni,ML,22.6783,-3.9836,115.74,5,5,12.77,clear sky
158,Qui Nhon,VN,13.7667,109.2333,80.28,83,100,3.38,overcast clouds
159,Dingle,PH,10.9995,122.6711,77.67,92,88,4.34,overcast clouds
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,69,7,10.4,clear sky
161,Saint-Pierre,RE,-21.3393,55.4781,71.28,63,0,32.21,clear sky
162,Luxor,EG,25.6989,32.6421,104.05,16,0,4.61,clear sky
