City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Dryden,CA,70.09,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
639,Rosetta,EG,80.17,clear sky,31.4044,30.4164,Green Valley
641,Korla,CN,86.22,clear sky,41.7597,86.1469,Gulisitan Hotel
644,Chapaevsk,RU,81.97,scattered clouds,52.9813,49.7112,Olimp
647,Urucui,BR,88.03,few clouds,-7.2294,-44.5561,Hotel Premium Piauí
649,Torit,SS,86.83,broken clouds,4.4133,32.5678,Diplomat Guest House
650,Decatur,US,73.8,clear sky,39.8403,-88.9548,Haworth Cottage
652,Dwarka,IN,82.87,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
654,Luwero,UG,76.48,overcast clouds,0.8492,32.4731,Jo's bar and lounge
656,Richards Bay,ZA,75.16,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
658,La Reforma,MX,83.14,overcast clouds,25.0833,-108.05,Hotel Reforma
659,Coron,PH,79.21,overcast clouds,11.9986,120.2043,Coron Westown Resort
660,Santana Do Mundau,BR,73.65,broken clouds,-9.1681,-36.2222,Casa do crepe LL
661,San Policarpo,PH,80.6,overcast clouds,12.1791,125.5072,Agapita M. Nicart
662,Bacolod,PH,78.94,light rain,10.6667,122.95,Planta Hotel & Residences
663,Shingu,JP,75.67,few clouds,33.7333,135.9833,Shingu UI Hotel
664,Shache,CN,87.31,few clouds,38.4167,77.2406,Delong Hotel
665,Inirida,CO,77.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
666,Antropovo,RU,79.84,overcast clouds,58.3988,43.0066,"Hotel ""Sunrise"""
667,Ruidoso,US,73.51,clear sky,33.3317,-105.673,Inn of the Mountain Gods
668,Contamana,PE,83.34,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
669,Amahai,ID,77.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
672,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
673,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
674,Passo De Camaragibe,BR,80.15,clear sky,-9.2368,-35.4901,Chácara vovó candinha
678,Cervo,ES,75.22,clear sky,43.6702,-7.4101,Hotel Spa Galatea
679,Kibiti,TZ,79.57,few clouds,-7.7218,38.9375,Experia Guest House
680,Brigantine,US,77.04,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
681,Ponta Delgada,PT,75.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
682,Cananea,MX,74.1,overcast clouds,30.95,-110.3,Casas Montoya
