City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
164,Salalah,OM,78.64,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
167,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
171,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
172,Marawi,PH,70.18,overcast clouds,7.9986,124.2928,Derogongan Residence
173,Muleba,TZ,74.44,clear sky,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
174,Loiza,PR,86.63,overcast clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
176,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
179,Waingapu,ID,75.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
181,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
186,Lemery,PH,77.49,overcast clouds,11.2258,122.9275,Espia Resthouse and Resort
187,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
190,Yuzhnouralsk,RU,76.82,broken clouds,54.4418,61.2536,Mini Otel' Persona
191,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
193,Dakar,SN,88.68,few clouds,14.6937,-17.4441,Novotel Dakar
195,Tura,IN,78.01,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
198,Sao Filipe,CV,75.07,few clouds,14.8961,-24.4956,Hotel Xaguate
199,San Patricio,US,86.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
200,Bibiani,GH,83.61,overcast clouds,6.4635,-2.3194,Rodick Hotel
203,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
204,Puerto Baquerizo Moreno,EC,71.29,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
205,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
209,Praia Da Vitoria,PT,71.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
210,Puerto Del Rosario,ES,85.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
212,Vitorino Freire,BR,82.78,few clouds,-4.0667,-45.1667,Francelina
213,Kavieng,PG,82.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
215,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
216,Phangnga,TH,82.44,light rain,8.4509,98.5298,Sunimit Mansion
217,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
220,Peniche,PT,84.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
224,Cabo San Lucas,MX,81.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
226,Itarema,BR,84.54,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
227,Kulhudhuffushi,MV,81.54,overcast clouds,6.6221,73.07,Haajy Guest House 1
230,Lucapa,AO,89.46,clear sky,-8.4192,20.7447,Lírio Mendes
232,Mathbaria,BD,81.79,clear sky,22.2876,89.9593,Shikdar Hotel
233,Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
235,Nhulunbuy,AU,72.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
236,Baraboo,US,71.02,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
237,Soyo,AO,74.95,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
